OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 66|1.300659,18.229012,65.831147|1.301140,18.222563,65.930939,50.097260,73.327562,0.214404|1.301134,18.222955,65.930964,50.096738,73.326937,0.215198
 67|1.320670,17.027156,66.648491|1.321119,17.020670,66.748281,51.779382,75.260673,0.214604|1.321114,17.021072,66.748306,51.778845,75.260040,0.215379
 68|1.340680,15.801972,67.452997|1.341099,15.795450,67.552784,53.494138,77.203718,0.214806|1.341094,15.795861,67.552810,53.493586,77.203078,0.215559
 69|1.360690,14.553324,68.244147|1.361079,14.546769,68.343932,55.241719,79.155919,0.215010|1.361074,14.547189,68.343959,55.241153,79.155273,0.215738
 70|1.380700,13.281084,69.021408|1.381060,13.274498,69.121191,57.022304,81.116498,0.215214|1.381054,13.274927,69.121219,57.021723,81.115847,0.215916
 71|1.400710,11.985134,69.784229|1.401040,11.978520,69.884010,58.836059,83.084670,0.215420|1.401034,11.978957,69.884038,58.835465,83.084015,0.216093
 72|1.420720,10.665364,70.532041|1.421021,10.658724,70.631820,60.683137,85.059649,0.215626|1.421015,10.659169,70.631849,60.682530,85.058992,0.216268
 73|1.440730,9.321677,71.264257|1.441002,9.315014,71.364034,62.563677,87.040647,0.215834|1.440996,9.315466,71.364064,62.563058,87.039987,0.216442
 74|1.460741,7.953986,71.980272|1.460983,7.947301,72.080049,64.477801,89.026870,0.216043|1.460977,7.947759,72.080078,64.477170,89.026210,0.216615
 75|1.480751,6.562215,72.679465|1.480965,6.555511,72.779240,66.425613,91.017525,0.216252|1.480959,6.555976,72.779270,66.424971,91.016866,0.216785
 76|1.500761,5.146305,73.361192|1.500947,5.139584,73.460966,68.407200,93.011817,0.216463|1.500940,5.140055,73.460997,68.406548,93.011159,0.216954
