result_new_OneBody2_E-0.20_ecc0.8_EU1.txt
geod|
42|0.00024131312339870092,0.0024429608755083265,912.361383873861
43|0.0002736503480007535,0.002494925198650355,811.7200898438051
44|0.0003001301317104854,0.0025364339455100637,745.1113958650392
45|0.0003242419471103375,0.0025668596665151533,691.649473299538
46|0.00034301175364648273,0.0025855182473741856,653.7695778316947
47|0.00035986811736909985,0.0025920280394877704,620.2716535261302
48|0.00037427940425560635,0.002586184344105069,590.9769318588762
49|0.000385341393998484,0.002568223696306049,566.4800969490843
50|0.00039434250369430046,0.0025384486701635067,543.7167300969783
51|0.0004006324968686137,0.0024976721629479393,523.432243382654
52|0.0004061795025958048,0.002446662813085032,502.3599904596225
53|0.00040930531386029756,0.0023863412284187424,483.02229353250925
54|0.0004109462880599324,0.002318073673391874,464.0819106398173
55|0.0004105421374371865,0.002243050748068298,446.36309979544745
56|0.0004104153646893316,0.0021624771009388644,426.89964533266806
57|0.0004090865939763155,0.0020777010316840316,407.8878316419047
58|0.00040624185195614615,0.0019899515227416176,389.8440456490517
59|0.0004028867984096074,0.0019004918931313508,371.7185821509983
60|0.0003985921960487637,0.001810200443393084,354.1484909482835
61|0.00039505836187014864,0.001720199471654471,335.4292017795289
62|0.0003897577927491902,0.0016310682297904222,318.4825191782676
63|0.0003843967156629269,0.0015438127329272522,301.6196471046345
64|0.0003776811413374048,0.0014587970077326595,286.2509530041454
65|0.00037220424854433887,0.001376631344407686,269.8591162759645
66|0.0003652833047582682,0.0012973715442909928,255.16858487401942
67|0.00035817039669439055,0.0012215763601015617,241.0601131125512
68|0.000351581346676344,0.0011492760158553494,226.88765394409305
69|0.0003437898762399527,0.0010805376011082668,214.3017510946399
70|0.0003374172705825629,0.001015414595826547,200.93735097595857
71|0.00032957288026702614,0.0009538548756125032,189.42153093412057
72|0.00032280571363019206,0.0008958792084314826,177.52891928604666
73|0.0003146847703972,0.0008412871672338618,167.34282887982664
74|0.0003079765556899261,0.0007901443957112342,156.5599170174367
75|0.000300698410746314,0.0007420630761723057,146.7798464017662
76|0.0002931080484991355,0.0006971439179115357,137.84536845073768
77|0.00028508022304318814,0.0006550382173029501,129.77329339458083
78|0.00027809699460279447,0.0006157432121800532,121.41311273770447
79|0.0002709717769189268,0.0005790204031648205,113.68291921341316
80|0.0002637252141437507,0.000544761544901462,106.56407339365157
81|0.00025637392657662517,0.0005127395551567382,99.99676332276728
82|0.0002492533447346901,0.00048291400331823553,93.74424196082835
83|0.00024182489025470488,0.00045506912581627645,88.18126014115818
84|0.00023479184198293979,0.00042915913088314994,82.78281189783974
85|0.00022876623599188406,0.0004049537999644137,77.01641949416883
86|0.00022171440677531962,0.0003823791065244997,72.46470903083626
87|0.00021520643635808412,0.00036135415146754113,67.91047590522821
88|0.0002091125020995399,0.0003417421079006111,63.425000642925696
89|0.00020268561911862548,0.00032345171376535475,59.582961619022754
90|0.00019593016947183628,0.0003063666701788037,56.36523512671282
91|0.00019019564523503618,0.00029049034825723297,52.732386642321174
92|0.00018395790327030426,0.0002756373086132413,49.837165847789144
93|0.0001785575036326037,0.00026179477331522705,46.61650616144963
94|0.00017303213668729,0.00024888323950555957,43.83642499621354
95|0.00016718768808132722,0.000236848556216529,41.66626677756066
96|0.00016221512046943332,0.00022559734289329114,39.0729435335229
97|0.0001571931790307346,0.0002151217692074603,36.85184722003709
98|0.0001518538487266241,0.00020533602963634934,35.219509652341365
99|0.00014686335870717215,0.00019622818237152728,33.61275685025197
100|0.0001423238239546265,0.00018772122135635172,31.897258055824945
101|0.00013800980334544022,0.00017981802257338586,30.293659011526277
102|0.00013334576540025012,0.00017244143391126343,29.31901766333855
103|0.00012913976086803558,0.0001655815200272137,28.218852903419094
104|0.00012490764925399134,0.00015919323172042255,27.44874526996643
105|0.00012067975291074617,0.00015327019888733417,27.005728127974912
106|0.00011699661862074606,0.00014780119034618622,26.32945472150409
107|0.0001136110282660141,0.00014271736855508976,25.619291307640253
108|0.00011013342258081593,0.0001380345142254491,25.333900455294888
109|0.00010665830667644371,0.00013370526685063666,25.35851263440925
110|0.00010358619223183041,0.00012976222225269396,25.269806194131025
111|0.00010078827840054316,0.00012615336964616475,25.16670752606574
112|9.771642457945262e-05,0.00012288580479813405,25.7575738439103
113|9.495475905030304e-05,0.00011993917288588563,26.311913257919905
114|9.267953531644224e-05,0.00011731370362788596,26.57994370314174
115|9.041046651692142e-05,0.00011504099053505357,27.243000691211176
116|8.81108909736028e-05,0.00011310097937711205,28.362087963673005
117|8.613103914356657e-05,0.00011148565839658175,29.43726153210937
118|8.441513542312151e-05,0.0001102620470776472,30.618812047117977
119|8.266145260815705e-05,0.00010949682400163141,32.46419043793363
120|8.136188148277768e-05,0.00010917322481329705,34.182276544829364
121|8.003843310611103e-05,0.0001095119205656303,36.8241684847138
122|7.886793756917143e-05,0.0001106751612960366,40.329726765034934
123|7.792987249732874e-05,0.00011305557288388002,45.07347344595656
124|7.71977261813106e-05,0.00011756784020455768,52.2944340723608
125|7.655569517073246e-05,0.00012638088031291517,65.08357742825523
126|7.612943904611313e-05,0.00014659527942750827,92.56056692958497
127|7.585227911732773e-05,0.00021401340576243655,182.1449905696337
128|7.575226242995114e-05,1.3506889927406007e-05,82.16965474807309
129|7.587571684464223e-05,4.733948679369604e-05,37.60917357706809
130|7.609100044358996e-05,6.309423992334473e-05,17.080548875001817
131|7.651857157586761e-05,7.151699330165684e-05,6.536423996430387
132|7.71620498012382e-05,7.693100456318547e-05,0.29942859041183995
133|7.793546492163017e-05,8.095635699412185e-05,3.8761455718900315
134|7.887323149358139e-05,8.429304972157325e-05,6.8715559453563495
135|8.006025061302324e-05,8.730503342579965e-05,9.049163295521726
136|8.132881271016856e-05,9.017254033683031e-05,10.87404000127007
137|8.268193466420826e-05,9.299273894836091e-05,12.470443907762165
138|8.429752503680277e-05,9.590280590465738e-05,13.767048158042556
139|8.61890206280691e-05,9.889739782353857e-05,14.74477503382924
140|8.802137414498645e-05,0.00010205042530930797,15.938232390252438
141|9.01974863172228e-05,0.00010539158448041874,16.845367630045253
142|9.244252225837357e-05,0.00010893649830689967,17.842412393753186
143|9.507210396630938e-05,0.00011273950690426915,18.58316183285535
144|9.778123919623738e-05,0.00011679337766334896,19.443544204789717
145|0.00010064334657133855,0.00012116596240074884,20.391428274757672
146|0.00010330031970351428,0.00012582767106250614,21.807629854049217
147|0.00010625668916208753,0.00013082798977670507,23.124474146879972
148|0.00010953756540388326,0.00013622042563055103,24.3595520206092
149|0.00011305721476606578,0.00014198577461144168,25.58753981798854
150|0.0001165738128046101,0.00014818900745305896,27.12032307070477
151|0.0001209468691376614,0.00015484639289065072,28.028442567128366
152|0.00012455221642948544,0.00016198087653407356,30.050577322145166
153|0.0001285882769712643,0.00016965741344820984,31.938476387021883
154|0.00013273049418138783,0.00017788798532381023,34.021941544729536
155|0.00013699938311084736,0.00018673492816612125,36.30348102737984
156|0.00014167429939870857,0.0001962208041885738,38.50134076637082
157|0.00014642083155091967,0.0002064472656888583,40.995829283392425
158|0.00015128203427394737,0.00021741222571680652,43.7131823089502
159|0.0001558310969880239,0.0002292179532443761,47.09384562825238
160|0.00016143528665857332,0.00024186761934608114,49.823266246380044
161|0.0001659494803440964,0.00025552292875907767,53.9763355867404
162|0.00017198766295134504,0.0002701792572659123,57.0922312854181
163|0.00017714337305907435,0.0002859740515677167,61.43649442214762
164|0.00018295549127778088,0.00030296680794483777,65.59590850697343
165|0.00018873906611283076,0.0003212658577784744,70.21693727488157
166|0.00019435028186665093,0.0003410153472760413,75.46429261678217
167|0.0001999223722179977,0.000362246763438101,81.19371004816956
168|0.00020625180387545683,0.0003851519553026428,86.73870873644
169|0.00021190540209659048,0.0004098838229151802,93.42773655593143
170|0.00021871418535557297,0.00043653559975576073,99.59180930403129
171|0.00022480147590231425,0.000465331962824056,106.99684508577799
172|0.00023092760964260606,0.0004963855236597148,114.95286961483008
173|0.00023719587939119435,0.0005298824396411383,123.39445398510986
174|0.0002436486317765052,0.0005660903964292974,132.3388365868447
175|0.0002498401804262862,0.0006051156015911552,142.2010745263974
176|0.00025649574687269805,0.0006472736932991996,152.35260279791282
177|0.00026242601305215274,0.0006927694791296624,163.98658847588638
178|0.00026867337755653864,0.0007417645383862581,176.08412308367394
179|0.0002756913173680431,0.0007946642624598876,188.24421096984523
180|0.0002811471679646793,0.0008515931409045496,202.89941992641226
181|0.00028725190065959083,0.000912827133976224,217.77931908550673
182|0.00029321137363202965,0.0009787261202711672,233.79541460060665
183|0.00029880862427367205,0.001049374820049076,251.18625595223028
184|0.00030437958776863283,0.0011250544457264144,269.6221727527927
185|0.0003086983070659244,0.001205946401193314,290.6553335699949
186|0.000314021219886218,0.0012921433566330798,311.4828154292481
187|0.00031810765911721717,0.0013838546376658822,335.0271356264188
188|0.000321823548686595,0.001480879095344667,360.152497040174
189|0.0003258639123755458,0.0015832837933862365,385.87270122797827
190|0.0003281611161742859,0.0016907542983890522,415.2207909638798
191|0.0003297974586908836,0.0018028371280531807,446.6497938490681
192|0.00033166941946038975,0.001919096114915364,478.6171417424137
193|0.0003317575404118145,0.0020388590474786916,514.5629862543085
194|0.00033019639988474125,0.0021610181896439817,554.464491556634
195|0.0003287123549395865,0.0022844468736195056,594.9683634615317
196|0.00032421208287658487,0.0024078639014815106,642.6817286134559
197|0.00031994192732209825,0.002529515449993247,690.6170570281911
198|0.0003120003970247254,0.0026477606055101965,748.6401398073757
199|0.0003023312011301016,0.00276051222845608,813.0755337647583
200|0.0002906135892142281,0.0028657481873367585,886.102609683627
201|0.0002766610938067515,0.002961459975511893,970.4287815692944
202|0.00025897628770366055,0.003045546052460768,1075.9941728509534
203|0.00023821539934365532,0.0031161842292551922,1208.1371892166003
204|0.00021280769211884376,0.003171550857172356,1390.3365689437503
205|0.00018305058543743868,0.003210301079569322,1653.7781001342435
206|0.00014795089736674427,0.003231647877251387,2084.2705483838326
207|0.00010814721174856601,0.0032349378475812207,2891.235553166367
208|6.072148544822298e-05,0.003219915406181828,5202.761258908002
209|5.1429354139820305e-06,0.0031870245184737467,61868.97806278541
210|5.765608776187037e-05,0.003136964635588102,5340.821181874687
211|0.00013089779787733846,0.0030708736462492503,2246.008638836614
212|0.00021418637730596934,0.0029900177129480454,1295.9887414673192
213|0.0003091060679523139,0.0028959953807727867,836.8937335838891
214|0.00041788750658455776,0.002790636860410034,567.7961930994844
215|0.0005408817820309331,0.0026755439888024313,394.6633585542759
216|0.0006791834946522357,0.0025524235717497845,275.8076560822064
217|0.0008349520991177695,0.002423009691051581,190.19744888500685
218|0.001006884262296781,0.0022888870454893517,127.32374823976521
219|0.0011985473826217063,0.0021514502369690547,79.50481292303735
220|0.0014069722073528634,0.002011895774517658,42.99470622116432
221|0.0016332614676928259,0.0018715675544949129,14.59081056621769
222|0.001873878311778432,0.0017315969159419353,7.592883430165874
223|0.0021260223202181905,0.0015929602583550917,25.073210981547522
224|0.0023846080187616137,0.0014567778361898043,38.90912784289196
225|0.0026431483526468957,0.0013240751362353365,49.90537951040909
226|0.0028913733093016702,0.0011959698909742578,58.63661440303222
227|0.0031218637857457487,0.0010734937574516934,65.61369005421683
228|0.0033233584884621026,0.0009577682635355522,71.18071171495065
229|0.0034859300050591457,0.0008498230934668172,75.62133800066367
230|0.0036038464090618616,0.0007504519091559025,79.17636258668257
231|0.003671988359891243,0.0006602975141651868,82.01798455088938
232|0.0036900654943192723,0.0005796538287388131,84.29150296570155
233|0.0036638173512624217,0.0005084986239132228,86.12107058944922
234|0.003598401541273777,0.00044643504204033846,87.59351792956637
235|0.0035033111466989952,0.00039279088965704645,88.78801016497907
236|0.003389869520087019,0.00034662010934116694,89.77482445010835
237|0.003267702088285973,0.00030668915765730276,90.6145312708671
238|0.0031442063107023355,0.0002715406189510716,91.36377857818063
239|0.003027691294276269,0.00023918969461433903,92.09993122262769
240|0.002922839167458391,0.00020644834027283565,92.9367191130001
241|0.0028340981462717796,0.00016669731780183383,94.11815296442285
1|0.0014289555514419572,0.0006883002498945245,51.831934226368226
2|0.0014090950617680065,0.00027713763781722633,80.33222560091164
3|0.0013766078985061325,0.00023569848808158156,82.87831354611892
4|0.0013339492406295728,0.00021683229702507134,83.7450863630512
5|0.001283334796107205,0.0002054365276835668,83.99197712812538
6|0.0012270573287507247,0.00019744103399865764,83.90938798273804
7|0.001165946428442588,0.00019127131352547622,83.59518852157156
8|0.0011018950624688273,0.00018617567883350006,83.10404636750363
9|0.001037463183396592,0.00018179779166649368,82.4766994553678
10|0.0009738134512244923,0.0001779076822798764,81.73082513327662
11|0.0009129776226431963,0.00017440726262440975,80.89687432650577
12|0.0008557726822866485,0.00017121147786092195,79.9933461998997
13|0.0008018765233678282,0.000168264647322669,79.01613996429667
14|0.0007517761564401759,0.00016552860594298835,77.9816632218289
15|0.0007069714323445497,0.00016297532715814356,76.94739565109954
16|0.0006659776296681352,0.00016060098166503778,75.88492848550075
17|0.0006307929739246543,0.00015838380166943722,74.89131803672316
18|0.0005978110117229596,0.00015630697395296878,73.85344684393246
19|0.0005698958083822925,0.000154352129427604,72.91572825114325
20|0.0005461673722061411,0.0001525271359001934,72.07318787936956
21|0.0005246303766925919,0.0001508237043426064,71.25143509732723
22|0.0005071707948233195,0.0001492060089454128,70.58071748839738
23|0.0004909044931252771,0.00014770386462314988,69.91189392404759
24|0.0004781299941586381,0.00014628789685122712,69.40415814978333
25|0.00046738762841769255,0.00014496340960423737,68.98432889740778
26|0.00045924223127224995,0.00014372763485859252,68.70330621371203
27|0.00045195267265030203,0.0001425575809608226,68.45740946173663
28|0.00044565463673673644,0.0001414548791989212,68.25908056635267
29|0.0004413981582068738,0.00014042601919816988,68.18608854902489
30|0.0004375536839191785,0.0001394688120934795,68.1253255956494
31|0.0004350098083990561,0.00013855951141872325,68.14795695557841
32|0.0004334585340256547,0.00013770198500484554,68.231797462616
33|0.0004326251139500359,0.00013692191817415988,68.3509084981199
34|0.000431978110278064,0.00013617050716652201,68.47745199892903
35|0.0004318921411660126,0.00013545853048935186,68.63602793890993
36|0.00043300117962341567,0.0001348086117167746,68.86645624521886
37|0.00043391531337899636,0.00013419243053869323,69.07405053449105
38|0.00043455595592756247,0.00013361974511871821,69.25142935079418
39|0.00043574627474107785,0.00013307028432851808,69.46152106347003
40|0.00043822477583610464,0.00013256276994333405,69.75005128580126
41|0.0004397325786154038,0.00013209343140330176,69.96050831184094
42|0.00044103164975717313,0.00013164078321725725,70.15162442656052
43|0.00044277899726896663,0.00013121500001700426,70.3655772233258
44|0.00044509998003450235,0.000130821216690169,70.60857727290208
45|0.0004467876895632994,0.00013045420670465546,70.80174549299592
46|0.0004485008099506249,0.00013009677763786698,70.99296706906968
47|0.0004508298983250114,0.00012977405954028853,71.21440702525632
48|0.00045358349849733415,0.00012946880169328878,71.45645683271043
49|0.00045477025878382094,0.00012917067609086175,71.59649876042924
50|0.00045656756330103576,0.00012889809869109925,71.76801221726063
51|0.00045811978614307414,0.0001286353999643275,71.92101195905262
52|0.0004600095001681126,0.00012838848975782469,72.09003515994681
53|0.00046179257234912896,0.0001281468920848461,72.25011839558927
54|0.00046460767727363184,0.0001279354425416379,72.46376915414379
55|0.0004657531460441344,0.00012772267235527934,72.57717453116754
56|0.0004671507773339467,0.0001275317759157346,72.70008269202398
57|0.00046921615849648823,0.00012732644588275832,72.86401084507594
58|0.00047086639841431577,0.00012714852563999735,72.99689974307336
59|0.00047180259474166597,0.00012697506837322514,73.08724670267023
60|0.0004731789029142064,0.00012679033175766463,73.20456787553493
61|0.00047391404139141,0.00012662842115629402,73.28029767075198
62|0.0004756572772841583,0.00012645874499117582,73.41389461899703
63|0.0004768983012037875,0.0001262994622841518,73.5164788875644
64|0.0004774685574215898,0.00012615044487840343,73.57931890643502
65|0.00047849371190733514,0.00012597539404124447,73.67250793347085
66|0.000479433382797545,0.00012582793604987152,73.7548655215346
67|0.0004796503188824186,0.0001256622723964096,73.80127408458694
68|0.00048088048465833033,0.0001255125391355083,73.8994317424451
69|0.00048145322548021063,0.00012536000821716797,73.96216255647026
70|0.00048258648258103776,0.00012519506999297825,74.05748513232444
71|0.000483331939833187,0.00012503678274966568,74.13024622522985
72|0.00048343472971246193,0.00012488225147100351,74.16771204144122
73|0.000483868020716427,0.00012471509589406793,74.22538986779666
74|0.00048471709648745254,0.00012454294507757702,74.30605481422276
75|0.0004848957225296324,0.00012436601752252585,74.35200771132277
76|0.0004858215471390537,0.0001241991494174144,74.43523241222859
77|0.00048564905417847193,0.0001240116477936315,74.46476077186836
78|0.00048530603212859624,0.0001238240765655263,74.48536214923547
79|0.000485140844995291,0.0001236128872312836,74.52020614086133
80|0.00048548847008644813,0.00012341254990855255,74.57971558282792
81|0.00048565994016191993,0.00012320969398538217,74.630459752496
82|0.00048564326834266147,0.00012298800213739192,74.67523794634096
83|0.00048647956217928723,0.00012277291089479725,74.76298688791564
84|0.0004857105121558458,0.0001225476478945442,74.76940588528515
85|0.00048582935510643743,0.00012229836571986397,74.82688840548337
86|0.00048640749872608247,0.00012205094122230697,74.90767688780241
87|0.00048508539116620675,0.00012180313438903134,74.89037258034071
88|0.0004852076847088327,0.00012152619608163384,74.95377754485479
89|0.00048502035913289276,0.00012124882806974213,75.0012910207506
90|0.00048500089831593485,0.00012096960500485032,75.05785959883946
91|0.0004844197749094281,0.00012067125738224327,75.08952696970202
92|0.00048399399555032474,0.00012037052917635016,75.12974741773749
93|0.00048350943609709596,0.00012004484874816868,75.17218077124313
94|0.00048361887337766696,0.00011972684109196052,75.24355485637476
95|0.00048282826681855795,0.00011938815245482459,75.27316425745026
96|0.0004827427449582977,0.00011904813866037145,75.33921743957943
97|0.00048143067146022567,0.00011868272597448382,75.34790926084796
98|0.0004810931293053322,0.00011832094803221338,75.4058121339082
99|0.0004812257348707494,0.00011792450445935465,75.4949712963652
100|0.00048019839056667735,0.00011755331857865592,75.5198432797885
101|0.0004795336101834913,0.0001171390407455064,75.57229811260076
102|0.00047878802033762824,0.00011671920493228072,75.62194541752037
103|0.00047774757188401296,0.00011630455614564106,75.65564683311936
104|0.0004770437633274671,0.00011586137094066196,75.71263270847358
105|0.00047687391371198373,0.0001154127001108396,75.79806804434577
106|0.0004754585007251677,0.00011495899589286651,75.82144483324382
107|0.0004747343100128809,0.00011448387476997723,75.88464276642003
108|0.0004748261721454483,0.00011400041128029059,75.99112728660414
109|0.0004737951113611416,0.00011352764778482793,76.03866205823014
110|0.00047317450909556413,0.00011302076617258905,76.11435865625573
111|0.0004718105435408404,0.00011250840655896432,76.15390158206046
112|0.0004714769062172941,0.00011197576344601501,76.25000037766269
113|0.00047065497996312544,0.00011143971159133237,76.32241953541778
114|0.00046988326225250177,0.00011090339665109639,76.39767032359197
115|0.0004687553637241493,0.00011033589516207254,76.46194503557672
116|0.00046804563644009534,0.0001097749700659234,76.54609689327306
117|0.00046731900655494485,0.00010920520479551499,76.63155076859147
118|0.0004663657830006329,0.00010860614661534207,76.71223949652527
119|0.00046472143041675906,0.00010803087188260285,76.75362812820543
120|0.00046333189652214557,0.0001073825125432748,76.82384628614872
121|0.0004634186742067392,0.00010678017937804096,76.95816217142678
122|0.00046204832690843745,0.0001061766464455216,77.02044564127114
123|0.0004610210729967257,0.00010552672078534275,77.11021752229269
124|0.00046059488892868927,0.00010489209001540711,77.22682284656292
125|0.0004589357116224768,0.00010423459958386339,77.2877557914675
126|0.0004584311535826835,0.00010357260800397672,77.4071619708768
127|0.00045744455033247533,0.00010290651588817923,77.50404594100296
128|0.00045620874463914163,0.00010224861242913441,77.58731860565004
129|0.00045464148783036507,0.00010154076462232098,77.66575041206805
130|0.0004541052904389886,0.00010084853745351285,77.7918162204141
131|0.00045321104415085856,0.000100168203080786,77.8981107425433
132|0.00045123355446285984,9.945757385587672e-05,77.95873713906998
133|0.00045042418348240076,9.874040700796893e-05,78.07835133438678
134|0.0004496955314925444,9.80100053596944e-05,78.20525255512366
135|0.00044847227271382906,9.731621363096021e-05,78.3005060620419
136|0.0004478316581599806,9.657415952935011e-05,78.43516469421853
137|0.00044603858991143497,9.583781006827774e-05,78.51356088106475
138|0.00044522968693216924,9.508671010216574e-05,78.6432232860851
139|0.0004436949679593738,9.435501650190137e-05,78.73426040059556
140|0.0004434867633471562,9.36070457149274e-05,78.89293357744414
141|0.00044143573445198925,9.287618423703403e-05,78.96042912059823
142|0.00044047496069365977,9.209771459517402e-05,79.09127128358475
143|0.000439819172658229,9.13346870173859e-05,79.23358218665936
144|0.0004378714434487563,9.057865094774797e-05,79.31387115945863
145|0.0004367456231211264,8.981326818946478e-05,79.43579433088993
146|0.00043670014960905945,8.904086083549867e-05,79.6105266015573
147|0.00043565088136210406,8.827451973092426e-05,79.73732557250302
148|0.000434487353251356,8.751135553286549e-05,79.85871052908665
149|0.00043195382064853405,8.671786557401528e-05,79.92427397821893
150|0.00043182872574076825,8.593706919102218e-05,80.09926990299131
151|0.0004305064108511836,8.517353965253882e-05,80.2155002792789
152|0.0004287673246787804,8.439858742770312e-05,80.31599364738626
153|0.0004275849792545472,8.359233682120326e-05,80.45012316219845
154|0.00042694538547038974,8.281601717374798e-05,80.6026672281503
155|0.0004260567702369933,8.205534794891722e-05,80.74074778737254
156|0.0004250172489386195,8.126909503447521e-05,80.87863604655443
157|0.0004229526885262125,8.048352925493774e-05,80.97103259104836
158|0.00042199840810042133,7.969952597219887e-05,81.11378516071723
159|0.0004211857900640048,7.892360907102436e-05,81.26156890073835
160|0.00041954367599528197,7.814409859363547e-05,81.37402538406651
161|0.00041877883924090753,7.736253523105141e-05,81.52663697829591
162|0.000416628652318618,7.658491976714199e-05,81.61794217922068
163|0.000415265114609209,7.580866875889214e-05,81.74451306119636
164|0.00041461085746163917,7.502407060111516e-05,81.9049430927996
165|0.0004140391696862977,7.427229328371698e-05,82.06152974850414
166|0.00041256752651142037,7.350509738390798e-05,82.18349902488671
167|0.00041056563197061635,7.273449209044269e-05,82.28432035547286
168|0.0004096104174591275,7.196238566009594e-05,82.43150501237517
169|0.00040859848783192376,7.119565568780573e-05,82.57564386359356
170|0.00040734938151798517,7.046179861980306e-05,82.70236759480828
171|0.00040639861577940195,6.968573165633263e-05,82.8528619560656
172|0.0004045474557652362,6.895458538802579e-05,82.95513062674137
173|0.0004040726314795684,6.819405490277042e-05,83.12331754490069
174|0.0004020146056000762,6.746683070024684e-05,83.21781602945968
175|0.00040165453499430015,6.669835508010813e-05,83.39409884141986
176|0.00040012551633727966,6.598585983130789e-05,83.50870985801212
177|0.0003987555944364729,6.524029098986528e-05,83.6390280412081
178|0.0003979866226546669,6.452059707628965e-05,83.78824980449802
179|0.00039675253363746776,6.379924081212351e-05,83.91963871605165
180|0.00039556821545838616,6.308751663974821e-05,84.05141915493839
181|0.0003942996375743135,6.2367592842838e-05,84.18269080171711
182|0.00039206853899198535,6.16523252832124e-05,84.27511540667824
183|0.0003920969528836693,6.094657455701924e-05,84.45624886682009
184|0.00039006924034490353,6.0244718466551106e-05,84.555378318659
185|0.00038845566548628696,5.956067273316101e-05,84.66731778551868
186|0.00038801933005006006,5.885842251129869e-05,84.8310591888025
187|0.0003867839160696107,5.8185746358296875e-05,84.95652380027482
188|0.0003850344376687964,5.750548915073317e-05,85.06484523854489
189|0.0003839053094685241,5.68172901638242e-05,85.20018120028564
190|0.00038276175769880183,5.6156360705217345e-05,85.32863861770454
191|0.0003821442019655841,5.550763623352051e-05,85.4746883642318
192|0.00038012255023600616,5.4841743272859844e-05,85.57261513719449
193|0.0003790006220718567,5.419178279597592e-05,85.70140003999745
194|0.00037829358414054326,5.3537372775247505e-05,85.84766567033361
195|0.00037633425280603205,5.290834525817356e-05,85.9411294976003
196|0.0003754165709302093,5.2260988867347535e-05,86.07920030331773
197|0.0003735558616977386,5.164367822296789e-05,86.17511234109473
198|0.0003730834105271086,5.1011095225650394e-05,86.32716068678056
199|0.000372164098715988,5.040858433913442e-05,86.4552802075616
200|0.00037058485596874746,4.979865333232247e-05,86.56214561111959
201|0.0003688917448543272,4.9191402090142944e-05,86.66508460102074
202|0.00036803758527037544,4.85780105403677e-05,86.8008017429306
203|0.00036720454102212585,4.799391355314597e-05,86.92992373690332
204|0.00036560811721564335,4.741848831857354e-05,87.03024192140539
205|0.00036449482320355386,4.68319263786654e-05,87.15155239598235
206|0.0003636500478614302,4.625241081201992e-05,87.2810656607848
207|0.0003612659175020738,4.5688468512716796e-05,87.35323032169107
208|0.00036087760758363174,4.511368581905373e-05,87.49889578321957
209|0.0003593636094954,4.457058240214806e-05,87.59735787807458
210|0.0003578151554126663,4.40136684820569e-05,87.69932804235299
211|0.00035630512136552994,4.346283114520233e-05,87.80179443432299
212|0.00035530609662037804,4.292838445807412e-05,87.91791504103
213|0.00035462452109946696,4.239259119054317e-05,88.04578119439951
214|0.00035343336632553957,4.1873350485666094e-05,88.15240594825518
215|0.00035193862998683656,4.1352060958343984e-05,88.25020687274635
216|0.0003510807599806931,4.082887778134037e-05,88.3705168623921
217|0.00034915688683545554,4.033259269831113e-05,88.44857592131116
218|0.0003482692608782756,3.9817436909173054e-05,88.56705389135972
219|0.00034732826213224044,3.9317038886821365e-05,88.68014982556993
