result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.75_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
309|0.0058017088913357995,1.6899216429777653e-05,99.70872002118178
310|0.0057849202470317,1.687367744196422e-05,99.70831616130538
311|0.00576558737082955,1.684953929803612e-05,99.70775676068521
312|0.005751086403767758,1.682029840921473e-05,99.70752833067861
313|0.005733197535228385,1.680041149398903e-05,99.70696262616529
314|0.00571614637362039,1.677366407015768e-05,99.70655642851332
315|0.005697856800684242,1.6751549356541773e-05,99.70600262620623
316|0.005679528564046521,1.672221658743922e-05,99.70557034093821
317|0.005660138946293358,1.6697213368388475e-05,99.7050034720557
318|0.005642951083599357,1.6667611003384764e-05,99.70462953237664
319|0.005625970476426545,1.664163065129287e-05,99.70419982257242
320|0.005609160273825964,1.6622763828522125e-05,99.70364969055905
321|0.005589524642702237,1.6597802982687426e-05,99.70305519621677
322|0.005570185670205063,1.657127204346409e-05,99.70250054442343
323|0.005552417813240673,1.6540908031714707e-05,99.70209540081314
324|0.005534094928839828,1.6516925128939874e-05,99.70154243211722
325|0.0055142440344031485,1.6491052617695345e-05,99.70093719982634
326|0.005494997832677484,1.646313097580787e-05,99.70039786225382
327|0.005477641724384696,1.6434197139147955e-05,99.69997677894872
328|0.005457756705956385,1.6414828108324286e-05,99.69923855179529
329|0.005439944027983756,1.638339346676787e-05,99.69883158020579
330|0.00541972929208967,1.6362381833445738e-05,99.69809595735109
331|0.005401754060772923,1.63312749581479e-05,99.69766718783545
332|0.005381516772014372,1.6311476089825305e-05,99.69689816494393
333|0.005362368182353805,1.628291460953335e-05,99.69634844054319
334|0.005342401811920361,1.6253997744186677e-05,99.69575486239317
335|0.005324689079036382,1.6230557813301516e-05,99.69518299430473
336|0.005302975178918423,1.6205271363034512e-05,99.69441170632936
337|0.005283660808081514,1.617660216801653e-05,99.69383723226
338|0.0052638358968444265,1.6148059060583364e-05,99.69322639654736
339|0.005243192534030605,1.6124352502089323e-05,99.69247071517142
340|0.005223197774195221,1.6094422944590292e-05,99.69186648408943
341|0.005204895143011257,1.6068725264162254e-05,99.6912766766159
342|0.005185981298565068,1.6049005356677526e-05,99.69053098280322
343|0.005164566068946996,1.602307841608308e-05,99.68974976402325
344|0.005145067724244612,1.5992856104318776e-05,99.68916140736191
345|0.005124193087877593,1.5968440738589607e-05,99.6883716037874
346|0.005102011874423162,1.594046825026396e-05,99.68756504997225
347|0.005081987215654671,1.5909334221575477e-05,99.68694659103888
348|0.005061733168138183,1.5885411013272233e-05,99.68616656616226
349|0.005040395056110647,1.5859026209597005e-05,99.68536144423103
350|0.0050223712242853935,1.583083933986984e-05,99.68479352415606
351|0.005000004791149593,1.581078655910062e-05,99.68378457182507
352|0.004980147631481913,1.5778525392917686e-05,99.68317153304504
353|0.004956991084986484,1.575547254262233e-05,99.68215652857755
354|0.004937511934214989,1.572343144751187e-05,99.68155152520129
355|0.0049172955943808105,1.569868724438095e-05,99.6807455044533
356|0.004894041121112913,1.567571034222226e-05,99.67969802553155
357|0.00487465050080349,1.5643662219844146e-05,99.67908135737596
358|0.0048522361197722574,1.5621444353186575e-05,99.67805679757564
359|0.004830382226636232,1.559090764580162e-05,99.67723242355794
360|0.004809167100442657,1.556230553489968e-05,99.67640331038888
361|0.004788670347234181,1.553602310622182e-05,99.67556707854833
362|0.004766355734865613,1.5512557913766045e-05,99.67454049221939
363|0.0047474536535752065,1.5480751917706925e-05,99.67391462777002
364|0.004723461964119657,1.546384448225524e-05,99.67261630135435
365|0.004703826279843781,1.5428262861050257e-05,99.67200610857672
366|0.004681795078778528,1.5406853346888738e-05,99.67091995511029
367|0.004658282384622403,1.538019060731699e-05,99.66983129536996
368|0.00463694934538772,1.534969495509131e-05,99.66896996685203
369|0.004616778831278978,1.532184508690193e-05,99.6681269420338
370|0.004594413652099227,1.529849301817876e-05,99.66701968571792
371|0.0045718565543095835,1.5273932987724947e-05,99.6659139934448
372|0.004550684301044328,1.524292326493537e-05,99.66504107390097
373|0.004528449141353974,1.5218848229636706e-05,99.66392803022435
374|0.004505218165628655,1.519184552734032e-05,99.66279445370165
375|0.004484614146722521,1.5162265045276513e-05,99.6619048027497
376|0.004459501498003782,1.513921499096682e-05,99.6605177731694
377|0.004437163157883006,1.5104287614420286e-05,99.65959584813585
378|0.0044175821704577345,1.5076602231545166e-05,99.6587137114875
379|0.004394594754907111,1.5057855870637127e-05,99.6573550757138
380|0.004370239316347835,1.5028006089323753e-05,99.65612853206669
381|0.004349661394201121,1.4996663061594973e-05,99.65522228738108
382|0.004325975658256986,1.497637762426507e-05,99.65380346984432
383|0.004304409318979019,1.49421345074785e-05,99.65286446059868
384|0.004280764757833566,1.4921471313655843e-05,99.65142977580466
385|0.0042604054602986,1.4889838617193618e-05,99.65050653615137
386|0.004236192928931182,1.4868327916417456e-05,99.64901674296102
387|0.004213588431879245,1.4839663597498998e-05,99.64781411764793
388|0.004190879590579399,1.481115365642438e-05,99.6465860367423
389|0.004168144028362519,1.4783704148868537e-05,99.64531685929585
390|0.004143468762959124,1.4758922295854404e-05,99.64380273774975
391|0.004119914739050046,1.4727789286794746e-05,99.64252198844798
392|0.004096292002166102,1.4695790008900644e-05,99.6412416399727
393|0.00407482474355092,1.4670152832962913e-05,99.6399807658923
394|0.00405078859122554,1.464660300953824e-05,99.63842588474589
395|0.004027902944753414,1.461568244920386e-05,99.637139160261
396|0.00400637729599751,1.458920662500418e-05,99.63585040681068
397|0.0039834906218843,1.4568737112696795e-05,99.63427208708212
398|0.003961831254725823,1.4540182929678735e-05,99.63299338122151
399|0.003938068647551418,1.451712057409793e-05,99.63136446127915
