OneBody4_E-0.05_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 56|1.100558,40.778893,80.231427|1.100818,40.777650,80.280751,49.222350,54.691500,0.158114|1.100818,40.777642,80.280668,49.222358,54.691508,0.158114
 57|1.120568,39.165394,81.031302|1.120819,39.164139,81.080604,50.835861,56.484290,0.158114|1.120819,39.164131,81.080518,50.835869,56.484299,0.158114
 58|1.140578,37.536214,81.798733|1.140819,37.534947,81.848013,52.465053,58.294504,0.158114|1.140819,37.534939,81.847923,52.465061,58.294513,0.158114
 59|1.160588,35.892004,82.533412|1.160820,35.890726,82.582670,54.109274,60.121416,0.158114|1.160819,35.890717,82.582577,54.109283,60.121425,0.158114
 60|1.180599,34.233423,83.235045|1.180820,34.232135,83.284281,55.767865,61.964295,0.158114|1.180819,34.232126,83.284185,55.767874,61.964305,0.158114
 61|1.200609,32.561136,83.903352|1.200820,32.559837,83.952565,57.440163,63.822403,0.158114|1.200820,32.559828,83.952466,57.440172,63.822413,0.158114
 62|1.220619,30.875811,84.538064|1.220820,30.874503,84.587254,59.125497,65.694997,0.158114|1.220820,30.874494,84.587152,59.125506,65.695007,0.158114
 63|1.240629,29.178124,85.138928|1.240820,29.176806,85.188096,60.823194,67.581326,0.158114|1.240820,29.176797,85.187990,60.823203,67.581337,0.158114
 64|1.260639,27.468754,85.705703|1.260820,27.467428,85.754848,62.532572,69.480636,0.158114|1.260819,27.467418,85.754739,62.532582,69.480646,0.158114
 65|1.280649,25.748385,86.238162|1.280819,25.747052,86.287284,64.252948,71.392165,0.158114|1.280819,25.747042,86.287171,64.252958,71.392176,0.158114
 66|1.300659,24.017708,86.736092|1.300819,24.016367,86.785190,65.983633,73.315148,0.158114|1.300819,24.016357,86.785075,65.983643,73.315159,0.158114
 67|1.320670,22.277414,87.199294|1.320819,22.276066,87.248369,67.723934,75.248816,0.158114|1.320819,22.276055,87.248249,67.723945,75.248827,0.158114
 68|1.340680,20.528200,87.627581|1.340819,20.526845,87.676633,69.473155,77.192394,0.158114|1.340818,20.526835,87.676510,69.473165,77.192406,0.158114
 69|1.360690,18.770767,88.020783|1.360818,18.769406,88.069811,71.230594,79.145104,0.158114|1.360818,18.769396,88.069685,71.230604,79.145116,0.158114
 70|1.380700,17.005818,88.378743|1.380818,17.004452,88.427747,72.995548,81.106165,0.158114|1.380818,17.004441,88.427617,72.995559,81.106176,0.158114
 71|1.400710,15.234060,88.701316|1.400817,15.232689,88.750296,74.767311,83.074790,0.158114|1.400817,15.232678,88.750163,74.767322,83.074802,0.158114
 72|1.420720,13.456202,88.988373|1.420817,13.454827,89.037330,76.545173,85.050192,0.158114|1.420817,13.454817,89.037193,76.545183,85.050204,0.158114
 73|1.440730,11.672957,89.239801|1.440816,11.671578,89.288734,78.328422,87.031580,0.158114|1.440816,11.671567,89.288593,78.328433,87.031592,0.158114
 74|1.460741,9.885038,89.455497|1.460815,9.883656,89.504407,80.116344,89.018160,0.158114|1.460815,9.883645,89.504262,80.116355,89.018172,0.158114
 75|1.480751,8.093161,89.635377|1.480815,8.091776,89.684262,81.908224,91.009137,0.158114|1.480815,8.091765,89.684114,81.908235,91.009150,0.158114
 76|1.500761,6.298044,89.779366|1.500814,6.296657,89.828228,83.703343,93.003715,0.158114|1.500814,6.296646,89.828076,83.703354,93.003727,0.158114
 77|1.520771,4.500405,89.887409|1.520813,4.499016,89.936247,85.500984,95.001093,0.158114|1.520814,4.499005,89.936091,85.500995,95.001105,0.158114
 78|1.540781,2.700964,89.959462|1.540813,2.699574,90.008276,87.300426,97.000473,0.158114|1.540813,2.699563,90.008116,87.300437,97.000485,0.158114
 79|1.560791,0.900441,89.995495|1.560812,0.899051,90.044286,89.100949,99.001054,0.158114|1.560812,0.899040,90.044121,89.100960,99.001067,0.158114
 80|1.580801,-0.900441,89.995495|1.580811,-0.901832,90.044262,89.098168,98.997965,0.158114|1.580812,-0.901843,90.044094,89.098157,98.997952,0.158114
 81|1.600812,-2.700964,89.959462|1.600811,-2.702354,90.008204,87.297646,96.997385,0.158114|1.600811,-2.702365,90.008032,87.297635,96.997373,0.158114
 82|1.620822,-4.500405,89.887409|1.620810,-4.501794,89.936128,85.498206,94.998007,0.158114|1.620810,-4.501805,89.935952,85.498195,94.997995,0.158114
 83|1.640832,-6.298044,89.779366|1.640809,-6.299431,89.828062,83.700569,93.000632,0.158114|1.640810,-6.299442,89.827882,83.700558,93.000620,0.158114
 84|1.660842,-8.093161,89.635377|1.660809,-8.094547,89.684048,81.905453,91.006059,0.158114|1.660809,-8.094557,89.683864,81.905443,91.006048,0.158114
 85|1.680852,-9.885038,89.455497|1.680808,-9.886421,89.504145,80.113579,89.015088,0.158114|1.680808,-9.886431,89.503957,80.113569,89.015076,0.158114
 86|1.700862,-11.672957,89.239801|1.700807,-11.674337,89.288425,78.325663,87.028514,0.158114|1.700808,-11.674347,89.288233,78.325653,87.028503,0.158114
 87|1.720872,-13.456202,88.988373|1.720807,-13.457579,89.036974,76.542421,85.047135,0.158114|1.720807,-13.457588,89.036778,76.542412,85.047124,0.158114
 88|1.740883,-15.234060,88.701316|1.740806,-15.235432,88.749893,74.764568,83.071742,0.158114|1.740807,-15.235441,88.749693,74.764559,83.071732,0.158114
 89|1.760893,-17.005818,88.378743|1.760806,-17.007185,88.427297,72.992815,81.103127,0.158114|1.760806,-17.007194,88.427093,72.992806,81.103118,0.158114
 90|1.780903,-18.770767,88.020783|1.780805,-18.772129,88.069315,71.227871,79.142079,0.158114|1.780806,-18.772138,88.069106,71.227862,79.142069,0.158114
 91|1.800913,-20.528200,87.627581|1.800805,-20.529557,87.676090,69.470443,77.189382,0.158114|1.800805,-20.529565,87.675877,69.470435,77.189373,0.158114
 92|1.820923,-22.277414,87.199294|1.820804,-22.278764,87.247779,67.721236,75.245817,0.158114|1.820805,-22.278772,87.247563,67.721228,75.245809,0.158114
 93|1.840933,-24.017708,86.736092|1.840804,-24.019052,86.784555,65.980948,73.312165,0.158114|1.840805,-24.019059,86.784334,65.980941,73.312157,0.158114
 94|1.860943,-25.748385,86.238162|1.860804,-25.749722,86.286603,64.250278,71.389197,0.158114|1.860805,-25.749729,86.286378,64.250271,71.389190,0.158114
 95|1.880954,-27.468754,85.705703|1.880804,-27.470083,85.754121,62.529917,69.477686,0.158114|1.880804,-27.470089,85.753892,62.529911,69.477679,0.158114
 96|1.900964,-29.178124,85.138928|1.900803,-29.179445,85.187324,60.820555,67.578395,0.158114|1.900804,-29.179450,85.187091,60.820550,67.578389,0.158114
 97|1.920974,-30.875811,84.538064|1.920803,-30.877123,84.586438,59.122877,65.692085,0.158114|1.920804,-30.877128,84.586200,59.122872,65.692080,0.158114
 98|1.940984,-32.561136,83.903352|1.940803,-32.562439,83.951704,57.437561,63.819512,0.158114|1.940804,-32.562443,83.951462,57.437557,63.819508,0.158114
 99|1.960994,-34.233423,83.235045|1.960803,-34.234717,83.283375,55.765283,61.961426,0.158114|1.960804,-34.234720,83.283130,55.765280,61.961422,0.158114
100|1.981004,-35.892004,82.533412|1.980803,-35.893287,82.581720,54.106713,60.118569,0.158114|1.980805,-35.893290,82.581471,54.106710,60.118567,0.158114
101|2.001014,-37.536214,81.798733|2.000804,-37.537487,81.847020,52.462513,58.291681,0.158114|2.000805,-37.537489,81.846766,52.462511,58.291679,0.158114
