unnorm_init[10.00,0.00,0.00,3.00]_dt0.01000_m[90, 1].txt
Eccentricity : 0.000000 

Error of arcl_geod | mean = 3.634486, max = 9.987963, min = 0.000002
Error of newtonian | mean = 3.634486, max = 9.987963, min = 0.000002

   ||arc domain geodesic ||     newtonian
num||degree   | error    || degree   | error    
309||0.924000 | 3.973671 || 0.924000 | 3.973671 
310||0.927000 | 3.997639 || 0.927000 | 3.997639 
311||0.930000 | 4.021660 || 0.930000 | 4.021660 
312||0.933000 | 4.045736 || 0.933000 | 4.045736 
313||0.936000 | 4.069865 || 0.936000 | 4.069865 
314||0.939000 | 4.094047 || 0.939000 | 4.094047 
315||0.942000 | 4.118283 || 0.942000 | 4.118283 
316||0.945000 | 4.142571 || 0.945000 | 4.142571 
317||0.948000 | 4.166912 || 0.948000 | 4.166912 
318||0.951000 | 4.191306 || 0.951000 | 4.191306 
319||0.954000 | 4.215752 || 0.954000 | 4.215752 
320||0.957000 | 4.240250 || 0.957000 | 4.240250 
321||0.960000 | 4.264800 || 0.960000 | 4.264800 
322||0.963000 | 4.289402 || 0.963000 | 4.289402 
323||0.966000 | 4.314055 || 0.966000 | 4.314055 
324||0.969000 | 4.338759 || 0.969000 | 4.338759 
325||0.972000 | 4.363514 || 0.972000 | 4.363514 
326||0.975000 | 4.388319 || 0.975000 | 4.388319 
327||0.978000 | 4.413176 || 0.978000 | 4.413176 
328||0.981000 | 4.438082 || 0.981000 | 4.438082 
329||0.984000 | 4.463039 || 0.984000 | 4.463039 
330||0.987000 | 4.488045 || 0.987000 | 4.488045 
331||0.990000 | 4.513101 || 0.990000 | 4.513101 
332||0.993000 | 4.538207 || 0.993000 | 4.538207 
333||0.996000 | 4.563361 || 0.996000 | 4.563361 
334||0.999000 | 4.588565 || 0.999000 | 4.588565 
335||1.002000 | 4.613817 || 1.002000 | 4.613817 
336||1.005000 | 4.639118 || 1.005000 | 4.639118 
337||1.008000 | 4.664467 || 1.008000 | 4.664467 
338||1.011000 | 4.689864 || 1.011000 | 4.689864 
339||1.014000 | 4.715309 || 1.014000 | 4.715309 
340||1.017000 | 4.740801 || 1.017000 | 4.740801 
341||1.020000 | 4.766340 || 1.020000 | 4.766340 
342||1.023000 | 4.791927 || 1.023000 | 4.791927 
343||1.026000 | 4.817561 || 1.026000 | 4.817561 
344||1.029000 | 4.843241 || 1.029000 | 4.843241 
345||1.032000 | 4.868968 || 1.032000 | 4.868968 
346||1.035000 | 4.894741 || 1.035000 | 4.894741 
347||1.038000 | 4.920559 || 1.038000 | 4.920559 
348||1.041000 | 4.946424 || 1.041000 | 4.946424 
349||1.044000 | 4.972334 || 1.044000 | 4.972334 
350||1.047000 | 4.998289 || 1.047000 | 4.998289 
351||1.050000 | 5.024290 || 1.050000 | 5.024290 
352||1.053000 | 5.050335 || 1.053000 | 5.050335 
353||1.056000 | 5.076424 || 1.056000 | 5.076424 
354||1.059000 | 5.102558 || 1.059000 | 5.102558 
355||1.062000 | 5.128736 || 1.062000 | 5.128736 
356||1.065000 | 5.154958 || 1.065000 | 5.154958 
357||1.068000 | 5.181223 || 1.068000 | 5.181223 
358||1.071000 | 5.207532 || 1.071000 | 5.207532 
359||1.074000 | 5.233884 || 1.074000 | 5.233884 
360||1.077000 | 5.260279 || 1.077000 | 5.260279 
361||1.080000 | 5.286716 || 1.080000 | 5.286716 
362||1.083000 | 5.313196 || 1.083000 | 5.313196 
363||1.086000 | 5.339718 || 1.086000 | 5.339718 
364||1.089000 | 5.366282 || 1.089000 | 5.366282 
365||1.092000 | 5.392888 || 1.092000 | 5.392888 
366||1.095000 | 5.419535 || 1.095000 | 5.419535 
367||1.098000 | 5.446224 || 1.098000 | 5.446224 
368||1.101000 | 5.472953 || 1.101000 | 5.472953 
369||1.104000 | 5.499723 || 1.104000 | 5.499723 
370||1.107000 | 5.526534 || 1.107000 | 5.526534 
371||1.110000 | 5.553385 || 1.110000 | 5.553385 
372||1.113000 | 5.580276 || 1.113000 | 5.580276 
373||1.116000 | 5.607206 || 1.116000 | 5.607206 
374||1.119000 | 5.634177 || 1.119000 | 5.634177 
375||1.122000 | 5.661186 || 1.122000 | 5.661186 
376||1.125000 | 5.688235 || 1.125000 | 5.688235 
377||1.128000 | 5.715322 || 1.128000 | 5.715322 
378||1.131000 | 5.742448 || 1.131000 | 5.742448 
379||1.134000 | 5.769612 || 1.134000 | 5.769612 
380||1.137000 | 5.796815 || 1.137000 | 5.796815 
381||1.140000 | 5.824055 || 1.140000 | 5.824055 
382||1.143000 | 5.851333 || 1.143000 | 5.851333 
383||1.146000 | 5.878648 || 1.146000 | 5.878648 
384||1.149000 | 5.906000 || 1.149000 | 5.906000 
385||1.152000 | 5.933389 || 1.152000 | 5.933389 
386||1.155000 | 5.960815 || 1.155000 | 5.960815 
387||1.158000 | 5.988277 || 1.158000 | 5.988277 
388||1.161000 | 6.015775 || 1.161000 | 6.015775 
389||1.164000 | 6.043309 || 1.164000 | 6.043309 
390||1.167000 | 6.070878 || 1.167000 | 6.070878 
391||1.170000 | 6.098483 || 1.170000 | 6.098483 
392||1.173000 | 6.126123 || 1.173000 | 6.126123 
393||1.176000 | 6.153798 || 1.176000 | 6.153798 
394||1.179000 | 6.181508 || 1.179000 | 6.181508 
395||1.182000 | 6.209251 || 1.182000 | 6.209251 
396||1.185000 | 6.237029 || 1.185000 | 6.237029 
397||1.188000 | 6.264841 || 1.188000 | 6.264841 
398||1.191000 | 6.292687 || 1.191000 | 6.292687 
399||1.194000 | 6.320566 || 1.194000 | 6.320566 
400||1.197000 | 6.348478 || 1.197000 | 6.348478 
401||1.200000 | 6.376422 || 1.200000 | 6.376422 
402||1.203000 | 6.404400 || 1.203000 | 6.404400 
403||1.206000 | 6.432410 || 1.206000 | 6.432410 
404||1.209000 | 6.460452 || 1.209000 | 6.460452 
405||1.212000 | 6.488525 || 1.212000 | 6.488525 
406||1.215000 | 6.516631 || 1.215000 | 6.516631 
407||1.218000 | 6.544767 || 1.218000 | 6.544767 
408||1.221000 | 6.572935 || 1.221000 | 6.572935 
409||1.224000 | 6.601134 || 1.224000 | 6.601134 
410||1.227000 | 6.629363 || 1.227000 | 6.629363 
411||1.230000 | 6.657623 || 1.230000 | 6.657623 
412||1.233000 | 6.685912 || 1.233000 | 6.685912 
413||1.236000 | 6.714232 || 1.236000 | 6.714232 
414||1.239000 | 6.742581 || 1.239000 | 6.742581 
415||1.242000 | 6.770959 || 1.242000 | 6.770959 
416||1.245000 | 6.799367 || 1.245000 | 6.799367 
417||1.248000 | 6.827803 || 1.248000 | 6.827803 
418||1.251000 | 6.856268 || 1.251000 | 6.856268 
419||1.254000 | 6.884761 || 1.254000 | 6.884761 
420||1.257000 | 6.913282 || 1.257000 | 6.913282 
421||1.260000 | 6.941831 || 1.260000 | 6.941831 
422||1.263000 | 6.970407 || 1.263000 | 6.970407 
423||1.266000 | 6.999011 || 1.266000 | 6.999011 
424||1.269000 | 7.027642 || 1.269000 | 7.027642 
425||1.272000 | 7.056299 || 1.272000 | 7.056299 
426||1.275000 | 7.084983 || 1.275000 | 7.084983 
427||1.278000 | 7.113693 || 1.278000 | 7.113693 
428||1.281000 | 7.142429 || 1.281000 | 7.142429 
429||1.284000 | 7.171191 || 1.284000 | 7.171191 
430||1.287000 | 7.199979 || 1.287000 | 7.199979 
431||1.290000 | 7.228791 || 1.290000 | 7.228791 
432||1.293000 | 7.257629 || 1.293000 | 7.257629 
433||1.296000 | 7.286491 || 1.296000 | 7.286491 
434||1.299000 | 7.315377 || 1.299000 | 7.315377 
435||1.302000 | 7.344288 || 1.302000 | 7.344288 
436||1.305000 | 7.373223 || 1.305000 | 7.373223 
437||1.308000 | 7.402181 || 1.308000 | 7.402181 
438||1.311000 | 7.431163 || 1.311000 | 7.431163 
439||1.314000 | 7.460168 || 1.314000 | 7.460168 
440||1.317000 | 7.489195 || 1.317000 | 7.489195 
441||1.320000 | 7.518245 || 1.320000 | 7.518245 
442||1.323000 | 7.547318 || 1.323000 | 7.547318 
443||1.326000 | 7.576413 || 1.326000 | 7.576413 
444||1.329000 | 7.605529 || 1.329000 | 7.605529 
445||1.332000 | 7.634667 || 1.332000 | 7.634667 
446||1.335000 | 7.663826 || 1.335000 | 7.663826 
447||1.338000 | 7.693007 || 1.338000 | 7.693007 
448||1.341000 | 7.722208 || 1.341000 | 7.722208 
449||1.344000 | 7.751429 || 1.344000 | 7.751429 
450||1.347000 | 7.780671 || 1.347000 | 7.780671 
451||1.350000 | 7.809933 || 1.350000 | 7.809933 
452||1.353000 | 7.839215 || 1.353000 | 7.839215 
453||1.356000 | 7.868516 || 1.356000 | 7.868516 
454||1.359000 | 7.897836 || 1.359000 | 7.897836 
455||1.362000 | 7.927175 || 1.362000 | 7.927175 
456||1.365000 | 7.956533 || 1.365000 | 7.956533 
457||1.368000 | 7.985909 || 1.368000 | 7.985909 
458||1.371000 | 8.015303 || 1.371000 | 8.015303 
459||1.374000 | 8.044715 || 1.374000 | 8.044715 
460||1.377000 | 8.074145 || 1.377000 | 8.074145 
461||1.380000 | 8.103592 || 1.380000 | 8.103592 
462||1.383000 | 8.133056 || 1.383000 | 8.133056 
