OneBody4_E-0.10_plotinterval0.100_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [45.00,0.00,0.00,0.45] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 93|1.840933,-12.008854,43.368046|1.840632,-12.019599,43.457708,32.980401,73.289781,0.223607|1.840655,-12.019650,43.453990,32.980350,73.289666,0.223607
 94|1.860943,-12.874193,43.119081|1.860603,-12.884892,43.208604,32.115108,71.366907,0.223607|1.860628,-12.884928,43.204812,32.115072,71.366827,0.223607
 95|1.880954,-13.734377,42.852852|1.880573,-13.745027,42.942238,31.254973,69.455496,0.223607|1.880600,-13.745046,42.938371,31.254954,69.455452,0.223607
 96|1.900964,-14.589062,42.569464|1.900544,-14.599659,42.658714,30.400341,67.556313,0.223607|1.900573,-14.599662,42.654773,30.400338,67.556307,0.223607
 97|1.920974,-15.437905,42.269032|1.920515,-15.448447,42.358148,29.551553,65.670117,0.223607|1.920546,-15.448431,42.354132,29.551569,65.670153,0.223607
 98|1.940984,-16.280568,41.951676|1.940487,-16.291051,42.040659,28.708949,63.797665,0.223607|1.940519,-16.291016,42.036568,28.708984,63.797743,0.223607
 99|1.960994,-17.116712,41.617523|1.960458,-17.127132,41.706374,27.872868,61.939706,0.223607|1.960492,-17.127077,41.702208,27.872923,61.939829,0.223607
100|1.981004,-17.946002,41.266706|1.980430,-17.956358,41.355428,27.043642,60.096983,0.223607|1.980466,-17.956281,41.351188,27.043719,60.097153,0.223607
101|2.001014,-18.768107,40.899366|2.000402,-18.778394,40.987960,26.221606,58.270235,0.223607|2.000440,-18.778296,40.983645,26.221704,58.270454,0.223607
102|2.021025,-19.582697,40.515651|2.020375,-19.592913,40.604118,25.407087,56.460193,0.223607|2.020415,-19.592791,40.599729,25.407209,56.460464,0.223607
103|2.041035,-20.389447,40.115713|2.040347,-20.399589,40.204056,24.600411,54.667581,0.223607|2.040389,-20.399442,40.199593,24.600558,54.667906,0.223607
104|2.061045,-21.188032,39.699714|2.060320,-21.198097,39.787933,23.801903,52.893118,0.223607|2.060364,-21.197926,39.783397,23.802074,52.893498,0.223607
105|2.081055,-21.978135,39.267819|2.080294,-21.988119,39.355917,23.011881,51.137513,0.223607|2.080340,-21.987922,39.351307,23.012078,51.137952,0.223607
106|2.101065,-22.759437,38.820201|2.100268,-22.769338,38.908180,22.230662,49.401470,0.223607|2.100316,-22.769114,38.903497,22.230886,49.401969,0.223607
107|2.121075,-23.531627,38.357040|2.120242,-23.541442,38.444901,21.458558,47.685684,0.223607|2.120292,-23.541189,38.440146,21.458811,47.686246,0.223607
108|2.141085,-24.294394,37.878522|2.140216,-24.304121,37.966266,20.695879,45.990842,0.223607|2.140269,-24.303839,37.961439,20.696161,45.991468,0.223607
109|2.161096,-25.047435,37.384837|2.160191,-25.057070,37.472467,19.942930,44.317622,0.223607|2.160246,-25.056758,37.467568,19.943242,44.318315,0.223607
110|2.181106,-25.790446,36.876183|2.180166,-25.799988,36.963701,19.200012,42.666694,0.223607|2.180223,-25.799645,36.958732,19.200355,42.667456,0.223607
111|2.201116,-26.523132,36.352764|2.200142,-26.532577,36.440173,18.467423,41.038719,0.223607|2.200201,-26.532201,36.435133,18.467799,41.039553,0.223607
112|2.221126,-27.245197,35.814790|2.220118,-27.254543,35.902090,17.745457,39.434349,0.223607|2.220180,-27.254134,35.896981,17.745866,39.435257,0.223607
113|2.241136,-27.956354,35.262476|2.240095,-27.965598,35.349670,17.034402,37.854227,0.223607|2.240159,-27.965155,35.344491,17.034845,37.855211,0.223607
